"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"2","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"3","Adelie","Dream",39.5,17.8,188,3300,"female",2007
"4","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"5","Adelie","Dream",36.4,17,195,3325,"female",2007
"6","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"7","Adelie","Dream",38.8,20,190,3950,"male",2007
"8","Adelie","Dream",42.2,18.5,180,3550,"female",2007
"9","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"10","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"11","Adelie","Dream",36.5,18,182,3150,"female",2007
"12","Adelie","Dream",40.8,18.4,195,3900,"male",2007
"13","Adelie","Dream",36,18.5,186,3100,"female",2007
"14","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"15","Adelie","Dream",37,16.9,185,3000,"female",2007
"16","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"17","Adelie","Dream",41.1,19,182,3425,"male",2007
"18","Adelie","Dream",37.5,18.9,179,2975,NA,2007
"19","Adelie","Dream",36,17.9,190,3450,"female",2007
"20","Adelie","Dream",42.3,21.2,191,4150,"male",2007
"21","Adelie","Dream",37.3,17.8,191,3350,"female",2008
"22","Adelie","Dream",41.3,20.3,194,3550,"male",2008
"23","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"24","Adelie","Dream",36.9,18.6,189,3500,"female",2008
"25","Adelie","Dream",38.3,19.2,189,3950,"male",2008
"26","Adelie","Dream",38.9,18.8,190,3600,"female",2008
"27","Adelie","Dream",35.7,18,202,3550,"female",2008
"28","Adelie","Dream",41.1,18.1,205,4300,"male",2008
"29","Adelie","Dream",34,17.1,185,3400,"female",2008
"30","Adelie","Dream",39.6,18.1,186,4450,"male",2008
"31","Adelie","Dream",36.2,17.3,187,3300,"female",2008
"32","Adelie","Dream",40.8,18.9,208,4300,"male",2008
"33","Adelie","Dream",38.1,18.6,190,3700,"female",2008
"34","Adelie","Dream",40.3,18.5,196,4350,"male",2008
"35","Adelie","Dream",33.1,16.1,178,2900,"female",2008
"36","Adelie","Dream",43.2,18.5,192,4100,"male",2008
"37","Adelie","Dream",36.8,18.5,193,3500,"female",2009
"38","Adelie","Dream",37.5,18.5,199,4475,"male",2009
"39","Adelie","Dream",38.1,17.6,187,3425,"female",2009
"40","Adelie","Dream",41.1,17.5,190,3900,"male",2009
"41","Adelie","Dream",35.6,17.5,191,3175,"female",2009
"42","Adelie","Dream",40.2,20.1,200,3975,"male",2009
"43","Adelie","Dream",37,16.5,185,3400,"female",2009
"44","Adelie","Dream",39.7,17.9,193,4250,"male",2009
"45","Adelie","Dream",40.2,17.1,193,3400,"female",2009
"46","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"47","Adelie","Dream",32.1,15.5,188,3050,"female",2009
"48","Adelie","Dream",40.7,17,190,3725,"male",2009
"49","Adelie","Dream",37.3,16.8,192,3000,"female",2009
"50","Adelie","Dream",39,18.7,185,3650,"male",2009
"51","Adelie","Dream",39.2,18.6,190,4250,"male",2009
"52","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"53","Adelie","Dream",36,17.8,195,3450,"female",2009
"54","Adelie","Dream",37.8,18.1,193,3750,"male",2009
"55","Adelie","Dream",36,17.1,187,3700,"female",2009
"56","Adelie","Dream",41.5,18.5,201,4000,"male",2009
"57","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"58","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"59","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"60","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"61","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"62","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"63","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"64","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"65","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"66","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"67","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"68","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"69","Chinstrap","Dream",47,17.3,185,3700,"female",2007
"70","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"71","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"72","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"73","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"74","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"75","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"76","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007
"77","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007
"78","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"79","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"80","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"81","Chinstrap","Dream",46.7,17.9,195,3300,"female",2007
"82","Chinstrap","Dream",52,19,197,4150,"male",2007
"83","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"84","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"85","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"86","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"87","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"88","Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"89","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"90","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"91","Chinstrap","Dream",49.7,18.6,195,3600,"male",2008
"92","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"93","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"94","Chinstrap","Dream",52,20.7,210,4800,"male",2008
"95","Chinstrap","Dream",46.9,16.6,192,2700,"female",2008
"96","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"97","Chinstrap","Dream",49,19.5,210,3950,"male",2008
"98","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"99","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"100","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"101","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"102","Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"103","Chinstrap","Dream",50.1,17.9,190,3400,"female",2009
"104","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"105","Chinstrap","Dream",51.5,18.7,187,3250,"male",2009
"106","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"107","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"108","Chinstrap","Dream",51.4,19,201,3950,"male",2009
"109","Chinstrap","Dream",45.7,17.3,193,3600,"female",2009
"110","Chinstrap","Dream",50.7,19.7,203,4050,"male",2009
"111","Chinstrap","Dream",42.5,17.3,187,3350,"female",2009
"112","Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"113","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"114","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"115","Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"116","Chinstrap","Dream",45.6,19.4,194,3525,"female",2009
"117","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"118","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"119","Chinstrap","Dream",45.7,17,195,3650,"female",2009
"120","Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"121","Chinstrap","Dream",43.5,18.1,202,3400,"female",2009
"122","Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"123","Chinstrap","Dream",50.8,19,210,4100,"male",2009
"124","Chinstrap","Dream",50.2,18.7,198,3775,"female",2009
